Model,shipping_container.g
Export Date,2026-08-17 16:34:42
Total Errors,53
Total Warnings,0
Total Passed,25

Severity,Test Name,Description,Object,Path
"ERROR","No mis-matched duplicate IDs","Duplicate Region ID 2014 (2 instances)","ref","/ref","ID    MAT  LOS AIR REGION        PARENT
2014  40   --  --  cargo_box.r8i ref
2014  8    100 4   cargo_box.r8  ref
Done."
"ERROR","Duplicate ID check","Duplicate Region ID 2014 (2 instances)","ref","/ref","ID    MAT  LOS AIR REGION        PARENT
2014  40   --  --  cargo_box.r8i ref
2014  8    100 4   cargo_box.r8  ref
Done."
"PASSED","No matrices","No issues found","ref","/ref",""
"PASSED","Valid title","No issues found","ref","/ref",""
"PASSED","Duplicate Geometry Names","No issues found","ref","/ref",""
"PASSED","No null region","No issues found","ref","/ref",""
"PASSED","Overlaps cleared to gridsize with tolerance","No issues found","ref","/ref",""
"PASSED","No nested regions","No issues found","ref","/ref",""
"PASSED","No empty combos","No issues found","ref","/ref",""
"PASSED","No solids outside of regions","No issues found","ref","/ref",""
"PASSED","All BoTs are volume mode (should return nothing)","No issues found","ref","/ref",""
"PASSED","No BoTs are left hand orientation","No issues found","ref","/ref",""
"PASSED","All regions have material","No issues found","ref","/ref",""
"PASSED","All regions have LOS","No issues found","ref","/ref",""
"PASSED","No regions have aircodes (except actual air regions)","No issues found","ref","/ref",""
"PASSED","No mis-matched duplicate IDs","No issues found","all","/all",""
"ERROR","Duplicate ID check","Duplicate Region ID 1150 (4 instances)","all","/all","ID    MAT  LOS AIR REGION        PARENT
1150  1    100 --  roof_panel.r_02                      roof_panels
1150  1    100 --  roof_panel.r_01                      roof_panels
1150  1    100 --  roof_panel.r                         roof_panels
1150  1    100 --  roof_panel.r_03                      roof_panels
Done."
"ERROR","Duplicate ID check","Duplicate Region ID 2005 (2 instances)","all","/all","ID    MAT  LOS AIR REGION        PARENT
2005  40   100 --  cargo_box.r3i                        cargo_box.r3
2005  40   100 --  cargo_box.r3i                        cargo_box3
Done."
"PASSED","No matrices","No issues found","all","/all",""
"PASSED","Valid title","No issues found","all","/all",""
"PASSED","Duplicate Geometry Names","No issues found","all","/all",""
"ERROR","No null region","/all/cargo/cargo_box1/cargo_box.r1 was not hit","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_panels/roof_panels/roof_panel.r_02 /all/shipping_container/container_frame/container_side_frame1/side_wall_2_1.r count:1 dist:3mm @ (-629 -1155.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_panels/roof_panels/roof_panel.r /all/shipping_container/container_frame/container_side_frame1/side_wall_2_1.r count:1 dist:3mm @ (1771 -1155.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_panels/container_side_panel_2.r /all/shipping_container/container_frame/container_floor/container_floor_4.r count:1 dist:7.38565mm @ (-85 1180 1616)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_panels/container_side_panel_2.r /all/shipping_container/container_frame/container_side_frame2/side_wall_2.r count:170 dist:0.486313mm @ (11 1212.16 4283)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_panels/container_side_panel_2.r /all/shipping_container/container_frame/container_side_frame2/side_wall_3.r count:170 dist:0.486313mm @ (-1397 1212.16 4315)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame2/side_wall_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r count:1 dist:3mm @ (1771 1152.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame2/side_wall_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r_03 count:2 dist:3mm @ (491 1152.65 4347)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame2/side_wall_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r_02 count:1 dist:3mm @ (-629 1152.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame2/side_wall_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r_01 count:1 dist:3mm @ (-1941 1152.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame2/side_wall_1.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-493.r count:2 dist:0.533943mm @ (-2856.53 1212 4347)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_6.r /all/shipping_container/container_frame/container_floor/container_floor_5.r count:3 dist:0.403011mm @ (1829.31 -1156 1531)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_4.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-525.r count:3 dist:0.534002mm @ (-2857.07 -1156 1531)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_3.r /all/shipping_container/container_panels/container_side_panel_1.r count:170 dist:0.486257mm @ (-1397 -1212.65 2459)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_2.r /all/shipping_container/container_panels/container_side_panel_1.r count:170 dist:0.486313mm @ (11 -1212.65 1627)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r_03 count:2 dist:3mm @ (491 -1155.65 4347)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_side_frame1/side_wall_2_1.r /all/shipping_container/container_panels/roof_panels/roof_panel.r_01 count:1 dist:3mm @ (-1941 -1155.65 4379)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_9.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-501.r count:2 dist:4.91414mm @ (-2869 1084 1502.48)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_9.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-525.r count:1 dist:1.3671mm @ (-2869 -1092 1506.02)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_4.r /all/shipping_container/container_frame/container_side_frame1/side_wall_2_5.r count:3 dist:0.402903mm @ (-73.0016 -1156 1531)","all","/all",""
